,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
175,15,1,4,17,1,0,2,0,5,4,3,16,0,1,59,2,2,15,3,2,2,2
176,0,0,1,11,1,2,13,2,0,1,0,16,0,1,46,1,2,18,1,1,2,1
177,0,5,2,15,1,2,15,1,0,0,0,0,1,1,38,1,1,78,1,1,2,1
178,14,6,2,10,0,1,9,0,0,0,4,16,0,1,65,4,2,54,6,1,2,2
179,2,3,4,11,1,1,16,2,2,1,0,16,1,1,55,2,2,71,2,1,2,2
180,2,7,1,20,1,1,15,1,5,1,1,16,1,1,42,1,1,36,1,2,2,1
181,2,5,2,8,1,1,17,0,0,0,0,16,1,1,44,1,1,18,1,1,0,1
182,0,11,6,22,1,1,14,1,2,1,0,0,0,1,43,1,2,18,1,2,2,1
183,12,10,2,9,1,1,6,1,0,0,2,5,0,1,55,3,1,16,4,1,2,2
184,5,8,6,15,1,2,16,1,0,0,0,0,0,1,51,1,1,25,1,2,7,1
185,12,11,1,22,1,0,3,0,3,2,1,16,0,1,59,2,1,18,3,2,2,2
186,11,5,6,20,1,1,16,0,0,0,0,16,1,1,62,1,2,21,1,2,2,1
187,7,7,1,9,1,1,9,0,0,0,0,16,0,1,60,1,1,59,1,2,2,1
188,1,7,5,12,1,1,6,0,0,0,0,16,1,1,50,3,1,17,6,1,2,2
189,10,9,3,9,1,2,6,4,1,0,1,16,0,18,61,1,1,31,1,1,2,0
190,5,10,2,18,1,1,15,1,2,1,0,0,0,1,50,2,2,61,3,2,2,2
191,9,6,1,10,1,0,1,1,1,0,0,0,25,0,0,1,2,30,13,2,0,3
192,0,1,4,15,1,1,15,0,0,9,0,16,1,1,48,1,1,27,1,2,2,1
193,8,10,1,15,1,2,6,1,2,1,0,16,1,1,52,1,1,31,1,0,2,1
194,3,4,5,14,1,1,6,1,0,0,0,16,1,1,41,1,1,30,1,2,2,1
